Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,92.41
2011,UNIDAD_MEDIDA.PT,ES,93.38
2012,UNIDAD_MEDIDA.PT,ES,94.65
2013,UNIDAD_MEDIDA.PT,ES,94.01
2014,UNIDAD_MEDIDA.PT,ES,94.68
2015,UNIDAD_MEDIDA.PT,ES,95.38
2017,UNIDAD_MEDIDA.PT,ES,96.21
2019,UNIDAD_MEDIDA.PT,ES,96.73
2020,UNIDAD_MEDIDA.PT,ES,98.86
2021,UNIDAD_MEDIDA.PT,ES,99.08
2022,UNIDAD_MEDIDA.PT,ES,99.21
2023,UNIDAD_MEDIDA.PT,ES,99.23
2024,UNIDAD_MEDIDA.PT,ES,99.17
2010,UNIDAD_MEDIDA.PT,ES70,92.31
2011,UNIDAD_MEDIDA.PT,ES70,91.39
2012,UNIDAD_MEDIDA.PT,ES70,95.13
2013,UNIDAD_MEDIDA.PT,ES70,94.14
2014,UNIDAD_MEDIDA.PT,ES70,94.10
2015,UNIDAD_MEDIDA.PT,ES70,90.34
2017,UNIDAD_MEDIDA.PT,ES70,92.95
2019,UNIDAD_MEDIDA.PT,ES70,95.16
2020,UNIDAD_MEDIDA.PT,ES70,96.59
2021,UNIDAD_MEDIDA.PT,ES70,99.21
2022,UNIDAD_MEDIDA.PT,ES70,98.8
2023,UNIDAD_MEDIDA.PT,ES70,99.13
2024,UNIDAD_MEDIDA.PT,ES70,98.43
