Year,Units,general.territorio,Value
2015,UNIDAD_MEDIDA.PER_100000,ES,32.23
2015,UNIDAD_MEDIDA.PER_100000,ES,32.23
2016,UNIDAD_MEDIDA.PER_100000,ES,31.55
2016,UNIDAD_MEDIDA.PER_100000,ES,31.55
2017,UNIDAD_MEDIDA.PER_100000,ES,32.47
2017,UNIDAD_MEDIDA.PER_100000,ES,32.47
2018,UNIDAD_MEDIDA.PER_100000,ES,33.78
2018,UNIDAD_MEDIDA.PER_100000,ES,33.78
2019,UNIDAD_MEDIDA.PER_100000,ES,35.58
2019,UNIDAD_MEDIDA.PER_100000,ES,35.58
2020,UNIDAD_MEDIDA.PER_100000,ES,28.68
2020,UNIDAD_MEDIDA.PER_100000,ES,28.68
2021,UNIDAD_MEDIDA.PER_100000,ES,32.8
2021,UNIDAD_MEDIDA.PER_100000,ES,32.8
2022,UNIDAD_MEDIDA.PER_100000,ES,34.73
2022,UNIDAD_MEDIDA.PER_100000,ES,34.73
2015,UNIDAD_MEDIDA.PER_100000,ES70,51.64
2015,UNIDAD_MEDIDA.PER_100000,ES70,51.64
2016,UNIDAD_MEDIDA.PER_100000,ES70,46.96
2016,UNIDAD_MEDIDA.PER_100000,ES70,46.96
2017,UNIDAD_MEDIDA.PER_100000,ES70,45.79
2017,UNIDAD_MEDIDA.PER_100000,ES70,45.79
2018,UNIDAD_MEDIDA.PER_100000,ES70,47.49
2018,UNIDAD_MEDIDA.PER_100000,ES70,47.49
2019,UNIDAD_MEDIDA.PER_100000,ES70,55.36
2019,UNIDAD_MEDIDA.PER_100000,ES70,55.36
2020,UNIDAD_MEDIDA.PER_100000,ES70,47.68
2020,UNIDAD_MEDIDA.PER_100000,ES70,47.68
2021,UNIDAD_MEDIDA.PER_100000,ES70,54.7
2021,UNIDAD_MEDIDA.PER_100000,ES70,54.7
2022,UNIDAD_MEDIDA.PER_100000,ES70,55.68
2022,UNIDAD_MEDIDA.PER_100000,ES70,55.68
