Year,Units,general.territorio,Value
2013,UNIDAD_MEDIDA.PER_100000_POP,ES70,2.80
2011,UNIDAD_MEDIDA.PER_100000_POP,ES70,2.51
2014,UNIDAD_MEDIDA.PER_100000_POP,ES,4.03
2016,UNIDAD_MEDIDA.PER_100000_POP,ES,4.07
2018,UNIDAD_MEDIDA.PER_100000_POP,ES,4.06
2012,UNIDAD_MEDIDA.PER_100000_POP,ES,4.09
2011,UNIDAD_MEDIDA.PER_100000_POP,ES,4.53
2015,UNIDAD_MEDIDA.PER_100000_POP,ES70,3.01
2017,UNIDAD_MEDIDA.PER_100000_POP,ES,4.18
2010,UNIDAD_MEDIDA.PER_100000_POP,ES,5.02
2012,UNIDAD_MEDIDA.PER_100000_POP,ES70,3.06
2010,UNIDAD_MEDIDA.PER_100000_POP,ES70,3.41
2018,UNIDAD_MEDIDA.PER_100000_POP,ES70,2.28
2013,UNIDAD_MEDIDA.PER_100000_POP,ES,3.88
2017,UNIDAD_MEDIDA.PER_100000_POP,ES70,2.40
2014,UNIDAD_MEDIDA.PER_100000_POP,ES70,3.30
2015,UNIDAD_MEDIDA.PER_100000_POP,ES,4.05
2016,UNIDAD_MEDIDA.PER_100000_POP,ES70,2.47
