Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,0.86
2011,UNIDAD_MEDIDA.IX,ES,0.87
2012,UNIDAD_MEDIDA.IX,ES,0.92
2013,UNIDAD_MEDIDA.IX,ES,0.92
2014,UNIDAD_MEDIDA.IX,ES,0.93
2015,UNIDAD_MEDIDA.IX,ES,0.93
2016,UNIDAD_MEDIDA.IX,ES,0.94
2017,UNIDAD_MEDIDA.IX,ES,0.94
2018,UNIDAD_MEDIDA.IX,ES,0.95
2019,UNIDAD_MEDIDA.IX,ES,0.95
2020,UNIDAD_MEDIDA.IX,ES,0.96
2021,UNIDAD_MEDIDA.IX,ES,0.96
2022,UNIDAD_MEDIDA.IX,ES,0.97
2023,UNIDAD_MEDIDA.IX,ES,0.97
2010,UNIDAD_MEDIDA.IX,ES70,0.78
2011,UNIDAD_MEDIDA.IX,ES70,0.78
2012,UNIDAD_MEDIDA.IX,ES70,0.85
2013,UNIDAD_MEDIDA.IX,ES70,0.86
2014,UNIDAD_MEDIDA.IX,ES70,0.87
2015,UNIDAD_MEDIDA.IX,ES70,0.87
2016,UNIDAD_MEDIDA.IX,ES70,0.88
2017,UNIDAD_MEDIDA.IX,ES70,0.88
2018,UNIDAD_MEDIDA.IX,ES70,0.90
2019,UNIDAD_MEDIDA.IX,ES70,0.90
2020,UNIDAD_MEDIDA.IX,ES70,0.91
2021,UNIDAD_MEDIDA.IX,ES70,0.90
2022,UNIDAD_MEDIDA.IX,ES70,0.92
2023,UNIDAD_MEDIDA.IX,ES70,0.93
