Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,36.32
2011,UNIDAD_MEDIDA.PT,ES,36.31
2012,UNIDAD_MEDIDA.PT,ES,36.35
2013,UNIDAD_MEDIDA.PT,ES,36.35
2014,UNIDAD_MEDIDA.PT,ES,36.35
2015,UNIDAD_MEDIDA.PT,ES,36.36
2016,UNIDAD_MEDIDA.PT,ES,36.32
2017,UNIDAD_MEDIDA.PT,ES,36.49
2018,UNIDAD_MEDIDA.PT,ES,36.5
2019,UNIDAD_MEDIDA.PT,ES,36.50
2010,UNIDAD_MEDIDA.PT,ES70,17.74
2011,UNIDAD_MEDIDA.PT,ES70,17.75
2012,UNIDAD_MEDIDA.PT,ES70,17.74
2013,UNIDAD_MEDIDA.PT,ES70,17.74
2014,UNIDAD_MEDIDA.PT,ES70,17.75
2015,UNIDAD_MEDIDA.PT,ES70,17.75
2016,UNIDAD_MEDIDA.PT,ES70,17.75
2017,UNIDAD_MEDIDA.PT,ES70,17.75
2018,UNIDAD_MEDIDA.PT,ES70,18.39
2019,UNIDAD_MEDIDA.PT,ES70,18.39
