Year,Units,general.territorio,Value
2012,UNIDAD_MEDIDA.PT,ES,30.98
2013,UNIDAD_MEDIDA.PT,ES,35.35
2014,UNIDAD_MEDIDA.PT,ES,35.36
2015,UNIDAD_MEDIDA.PT,ES,35.71
2016,UNIDAD_MEDIDA.PT,ES,36.97
2017,UNIDAD_MEDIDA.PT,ES,36.71
2018,UNIDAD_MEDIDA.PT,ES,36.46
2019,UNIDAD_MEDIDA.PT,ES,36.43
2020,UNIDAD_MEDIDA.PT,ES,38.46
2021,UNIDAD_MEDIDA.PT,ES,36.86
2022,UNIDAD_MEDIDA.PT,ES,36.16
2012,UNIDAD_MEDIDA.PT,ES70,32.40
2013,UNIDAD_MEDIDA.PT,ES70,34.73
2014,UNIDAD_MEDIDA.PT,ES70,35.11
2015,UNIDAD_MEDIDA.PT,ES70,35.29
2016,UNIDAD_MEDIDA.PT,ES70,35.47
2017,UNIDAD_MEDIDA.PT,ES70,35.25
2018,UNIDAD_MEDIDA.PT,ES70,35.22
2019,UNIDAD_MEDIDA.PT,ES70,35.57
2020,UNIDAD_MEDIDA.PT,ES70,38.30
2021,UNIDAD_MEDIDA.PT,ES70,33.34
2022,UNIDAD_MEDIDA.PT,ES70,34.70
