Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,3.01
2011,UNIDAD_MEDIDA.PT,ES,2.85
2012,UNIDAD_MEDIDA.PT,ES,2.34
2013,UNIDAD_MEDIDA.PT,ES,1.73
2014,UNIDAD_MEDIDA.PT,ES,1.76
2015,UNIDAD_MEDIDA.PT,ES,1.81
2016,UNIDAD_MEDIDA.PT,ES,1.85
2017,UNIDAD_MEDIDA.PT,ES,2.08
2018,UNIDAD_MEDIDA.PT,ES,1.98
2019,UNIDAD_MEDIDA.PT,ES,2.07
2010,UNIDAD_MEDIDA.PT,ES70,3.22
2011,UNIDAD_MEDIDA.PT,ES70,4.32
2012,UNIDAD_MEDIDA.PT,ES70,2.31
2013,UNIDAD_MEDIDA.PT,ES70,2.31
2014,UNIDAD_MEDIDA.PT,ES70,1.73
2015,UNIDAD_MEDIDA.PT,ES70,1.79
2016,UNIDAD_MEDIDA.PT,ES70,2.34
2017,UNIDAD_MEDIDA.PT,ES70,2.51
2018,UNIDAD_MEDIDA.PT,ES70,2.71
