Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,11.16
2011,UNIDAD_MEDIDA.PT,ES,10.90
2012,UNIDAD_MEDIDA.PT,ES,10.51
2013,UNIDAD_MEDIDA.PT,ES,10.18
2014,UNIDAD_MEDIDA.PT,ES,9.97
2015,UNIDAD_MEDIDA.PT,ES,9.91
2016,UNIDAD_MEDIDA.PT,ES,10.05
2017,UNIDAD_MEDIDA.PT,ES,10.01
2018,UNIDAD_MEDIDA.PT,ES,10.05
2019,UNIDAD_MEDIDA.PT,ES,9.91
2020,UNIDAD_MEDIDA.PT,ES,9.74
2021,UNIDAD_MEDIDA.PT,ES,9.83
2022,UNIDAD_MEDIDA.PT,ES,9.78
2010,UNIDAD_MEDIDA.PT,ES70,3.67
2011,UNIDAD_MEDIDA.PT,ES70,3.62
2012,UNIDAD_MEDIDA.PT,ES70,3.45
2013,UNIDAD_MEDIDA.PT,ES70,3.29
2014,UNIDAD_MEDIDA.PT,ES70,3.21
2015,UNIDAD_MEDIDA.PT,ES70,3.17
2016,UNIDAD_MEDIDA.PT,ES70,3.13
2017,UNIDAD_MEDIDA.PT,ES70,3.20
2018,UNIDAD_MEDIDA.PT,ES70,3.15
2019,UNIDAD_MEDIDA.PT,ES70,3.14
2020,UNIDAD_MEDIDA.PT,ES70,3.26
2021,UNIDAD_MEDIDA.PT,ES70,3.16
2022,UNIDAD_MEDIDA.PT,ES70,3.08
