Year,Units,general.territorio,Value
2010,Porcentaje,ES70,3.89
2011,Porcentaje,ES70,3.63
2012,Porcentaje,ES70,3.65
2013,Porcentaje,ES70,3.23
2014,Porcentaje,ES70,3.05
2015,Porcentaje,ES70,2.83
2016,Porcentaje,ES70,2.74
2017,Porcentaje,ES70,2.78
2018,Porcentaje,ES70,2.66
2010,Porcentaje,ES,11.4
2011,Porcentaje,ES,11.5
2012,Porcentaje,ES,11.12
2013,Porcentaje,ES,11.19
2014,Porcentaje,ES,11.31
2015,Porcentaje,ES,11.3
2016,Porcentaje,ES,11.28
2017,Porcentaje,ES,11.34
2018,Porcentaje,ES,11.13
2019,Porcentaje,ES,11.16
2019,Porcentaje,ES70,2.71
2020,Porcentaje,ES,11.17
