Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PER_1000_POP,ES,10.61
2011,UNIDAD_MEDIDA.PER_1000_POP,ES,9.51
2012,UNIDAD_MEDIDA.PER_1000_POP,ES,8.98
2013,UNIDAD_MEDIDA.PER_1000_POP,ES,8.38
2014,UNIDAD_MEDIDA.PER_1000_POP,ES,8.08
2015,UNIDAD_MEDIDA.PER_1000_POP,ES,7.72
2016,UNIDAD_MEDIDA.PER_1000_POP,ES,7.34
2017,UNIDAD_MEDIDA.PER_1000_POP,ES,7.04
2018,UNIDAD_MEDIDA.PER_1000_POP,ES,6.23
2019,UNIDAD_MEDIDA.PER_1000_POP,ES,5.96
2020,UNIDAD_MEDIDA.PER_1000_POP,ES,5.33
2021,UNIDAD_MEDIDA.PER_1000_POP,ES,4.60
2022,UNIDAD_MEDIDA.PER_1000_POP,ES,4.62
2023,UNIDAD_MEDIDA.PER_1000_POP,ES,4.32
2010,UNIDAD_MEDIDA.PER_1000_POP,ES70,10.74
2011,UNIDAD_MEDIDA.PER_1000_POP,ES70,9.57
2012,UNIDAD_MEDIDA.PER_1000_POP,ES70,8.83
2013,UNIDAD_MEDIDA.PER_1000_POP,ES70,7.87
2014,UNIDAD_MEDIDA.PER_1000_POP,ES70,7.69
2015,UNIDAD_MEDIDA.PER_1000_POP,ES70,7.36
2016,UNIDAD_MEDIDA.PER_1000_POP,ES70,6.96
2017,UNIDAD_MEDIDA.PER_1000_POP,ES70,5.88
2018,UNIDAD_MEDIDA.PER_1000_POP,ES70,5.56
2019,UNIDAD_MEDIDA.PER_1000_POP,ES70,5.07
2020,UNIDAD_MEDIDA.PER_1000_POP,ES70,4.40
2021,UNIDAD_MEDIDA.PER_1000_POP,ES70,3.39
2022,UNIDAD_MEDIDA.PER_1000_POP,ES70,3.52
2023,UNIDAD_MEDIDA.PER_1000_POP,ES70,3.30
