Year,Units,general.territorio,Serie,DIM_DES.FORMA_MEDIR_EMPLEO,Value
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.94
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.77
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.1
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.03
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,0.34
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.01
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,0.88
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,0.33
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,0.15
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,-0.27
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,2.54
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,1.48
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,1.93
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,1.44
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.3
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.79
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.45
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.87
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,-0.24
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.39
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,2.58
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.43
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,1.35
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,0.12
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,-0.30
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,-0.53
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,0.49
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,0.07
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,-1.30
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,-0.09
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.49
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,1.24
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,1.78
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.57
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.12
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,-0.43
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,-1.04
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,0.31
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,FORMA_MEDIR_EMPLEO._L_WME_HOURS,-0.42
