Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.IX,ES,1.34
2011,UNIDAD_MEDIDA.IX,ES,1.34
2012,UNIDAD_MEDIDA.IX,ES,1.36
2013,UNIDAD_MEDIDA.IX,ES,1.36
2014,UNIDAD_MEDIDA.IX,ES,1.36
2015,UNIDAD_MEDIDA.IX,ES,1.37
2016,UNIDAD_MEDIDA.IX,ES,1.37
2017,UNIDAD_MEDIDA.IX,ES,1.39
2018,UNIDAD_MEDIDA.IX,ES,1.39
2019,UNIDAD_MEDIDA.IX,ES,1.4
2020,UNIDAD_MEDIDA.IX,ES,1.4
2021,UNIDAD_MEDIDA.IX,ES,1.41
2010,UNIDAD_MEDIDA.IX,ES70,1.37
2011,UNIDAD_MEDIDA.IX,ES70,1.37
2012,UNIDAD_MEDIDA.IX,ES70,1.38
2013,UNIDAD_MEDIDA.IX,ES70,1.38
2014,UNIDAD_MEDIDA.IX,ES70,1.39
2015,UNIDAD_MEDIDA.IX,ES70,1.39
2016,UNIDAD_MEDIDA.IX,ES70,1.39
2017,UNIDAD_MEDIDA.IX,ES70,1.4
2018,UNIDAD_MEDIDA.IX,ES70,1.41
2019,UNIDAD_MEDIDA.IX,ES70,1.41
2020,UNIDAD_MEDIDA.IX,ES70,1.41
2021,UNIDAD_MEDIDA.IX,ES70,1.41
