Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.GRUPO_POBLACION,Value
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION.B40,-1.15
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION.B40,0
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION.B40,1.1
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION.B40,2.35
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION.B40,2.49
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION._T,-0.53
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION._T,0.06
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION._T,1.26
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION._T,2.32
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION._T,2.42
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION.B40,-2.59
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION.B40,-0.86
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION.B40,0.56
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION.B40,2.27
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION.B40,3.73
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION.B40,4.69
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION._T,-1.58
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION._T,-0.28
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION._T,0.51
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION._T,1.62
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION._T,2.37
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION._T,3.36
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION.B40,-2.87
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION.B40,-3.80
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION.B40,-5.08
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION.B40,-1.99
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION.B40,-0.04
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION.B40,0.40
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION.B40,1.12
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION.B40,2.73
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION._T,-1.65
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION._T,-3.80
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION._T,-3.48
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION._T,-1.47
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION._T,-0.25
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION._T,0.06
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION._T,1.29
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_100101_S1,GRUPO_POBLACION._T,2.08
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION.B40,-2.56
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION.B40,-1.95
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION.B40,0.93
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION.B40,1.56
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION.B40,4.7
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION.B40,4.3
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION._T,-1.25
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION._T,0.21
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION._T,1.02
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION._T,1.04
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION._T,2.7
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_100101_S2,GRUPO_POBLACION._T,2.83
