Year,Units,general.territorio,Serie,DIM_DES.SEXO,Value
2010,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,1.61
2011,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,1.44
2012,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,1.15
2013,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,1.4
2014,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,1.39
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,1.18
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,1.1
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,0.97
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,0.82
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,SEXO._T,0.72
2010,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,2.42
2011,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,2.03
2012,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,1.67
2013,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,2.06
2014,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,2.07
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,1.74
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,1.7
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,1.55
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,1.25
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,SEXO.M,1.07
2010,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,0.82
2011,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,0.86
2012,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,0.65
2013,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,0.77
2014,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,0.75
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,0.64
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,0.52
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,0.41
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,0.4
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,0.38
2010,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,0
2011,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,0
2012,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,2.1
2013,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,1.8
2014,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,1.84
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,1.17
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,1.12
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,2.31
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,0.59
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,0.77
