Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2013,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,6161
2014,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,5924
2015,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,6256
2016,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,6673
2017,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,7242
2018,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,7733
2019,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,8480
2020,UNIDAD_MEDIDA.EUR_1000000,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,8169
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.6
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.57
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.58
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.6
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.62
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.64
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.68
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.73
2013,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,223.08
2014,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,212.09
2015,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,223.76
2016,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,234.95
2017,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,252.62
2018,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,272.19
2019,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,291.8
2020,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_170302_02,280.01
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.57
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.54
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.55
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.56
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.57
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.59
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_170302_01,0.62
