Year,Units,Territorio,Value
2010,Por 1.000 habitantes,ES70,0.12
2011,Por 1.000 habitantes,ES70,0.16
2012,Por 1.000 habitantes,ES70,0.12
2013,Por 1.000 habitantes,ES70,0.19
2014,Por 1.000 habitantes,ES70,0.10
2015,Por 1.000 habitantes,ES70,0.09
2016,Por 1.000 habitantes,ES70,0.08
2017,Por 1.000 habitantes,ES70,0.04
2018,Por 1.000 habitantes,ES70,0.00
2010,Por 1.000 habitantes,ES,0.12
2011,Por 1.000 habitantes,ES,0.14
2012,Por 1.000 habitantes,ES,0.13
2013,Por 1.000 habitantes,ES,0.13
2014,Por 1.000 habitantes,ES,0.12
2015,Por 1.000 habitantes,ES,0.09
2016,Por 1.000 habitantes,ES,0.10
2017,Por 1.000 habitantes,ES,0.10
2018,Por 1.000 habitantes,ES,0.06
2019,Por 1.000 habitantes,ES,0.07
2019,Por 1.000 habitantes,ES70,0.04
