Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.EUR,ES,14.6
2011,UNIDAD_MEDIDA.EUR,ES,14.6
2012,UNIDAD_MEDIDA.EUR,ES,14.6
2013,UNIDAD_MEDIDA.EUR,ES,14.7
2014,UNIDAD_MEDIDA.EUR,ES,14.9
2015,UNIDAD_MEDIDA.EUR,ES,15.1
2016,UNIDAD_MEDIDA.EUR,ES,14.9
2017,UNIDAD_MEDIDA.EUR,ES,15.2
2018,UNIDAD_MEDIDA.EUR,ES,15.6
2010,UNIDAD_MEDIDA.EUR,ES70,12
2011,UNIDAD_MEDIDA.EUR,ES70,12.2
2012,UNIDAD_MEDIDA.EUR,ES70,12.3
2013,UNIDAD_MEDIDA.EUR,ES70,12.3
2014,UNIDAD_MEDIDA.EUR,ES70,12.2
2015,UNIDAD_MEDIDA.EUR,ES70,12.6
2016,UNIDAD_MEDIDA.EUR,ES70,12.3
2017,UNIDAD_MEDIDA.EUR,ES70,12.5
2018,UNIDAD_MEDIDA.EUR,ES70,13
