Year,Units,general.territorio,Serie,DIM_DES.MEDIANA_INGRESOS,Value
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,17.60
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,13.80
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,15.90
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,15.93
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,19.50
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,21.70
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,22.50
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,13.89
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,14.36
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,22.50
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,15.48
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,15.71
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,22.40
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,14.63
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,21.30
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,26.10
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,25.50
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,21.50
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,13.58
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,MEDIANA_INGRESOS._L_MI_COUNTRY,13.77
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,16.90
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,17.50
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,18.00
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,17.80
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,17.30
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,15.90
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,16.40
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,14.70
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,17.60
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,14.60
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,13.51
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,13.79
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,14.66
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,14.73
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,14.68
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,14.85
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,13.34
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,13.83
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,13.00
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,MEDIANA_INGRESOS._L_MI_NUTS2,13.47
