Year,Units,Territorio,Value
2010,Porcentaje,ES70,17.60
2011,Porcentaje,ES70,14.70
2012,Porcentaje,ES70,16.40
2013,Porcentaje,ES70,15.90
2014,Porcentaje,ES70,17.30
2015,Porcentaje,ES70,17.80
2016,Porcentaje,ES70,18.00
2017,Porcentaje,ES70,17.50
2018,Porcentaje,ES70,16.90
2010,Porcentaje,ES,13.47
2011,Porcentaje,ES,13
2012,Porcentaje,ES,13.83
2013,Porcentaje,ES,13.34
2014,Porcentaje,ES,14.85
2015,Porcentaje,ES,14.68
2016,Porcentaje,ES,14.73
2017,Porcentaje,ES,14.66
2018,Porcentaje,ES,13.79
2019,Porcentaje,ES,13.51
2019,Porcentaje,ES70,14.6
